width(um),neff,k,ng,area(um2),TE_frac
0.19999999999999998,1.4403132314288867,0.00010458333443077017,1.4813087628450827,24.686651637137427,0.999701422526551
0.22499999999999998,1.4412164662084865,9.357016636919248e-05,1.486494186565026,18.023417009312908,0.9995014237573853
0.25,1.4420673627006118,8.456037325906042e-05,1.4917722087107204,14.4794246776323,0.9993058990764339
0.275,1.4436676049001764,7.044611283555436e-05,1.5018304975417358,10.638459938998073,0.9989385360499133
0.3,1.4456088374516496,5.697427404039872e-05,1.5145709510309604,8.043270838068782,0.9984986813836686
0.325,1.4475011702154177,4.6694788441375804e-05,1.5275017173789278,6.496534980357674,0.9980949578086428
0.35,1.4505267828272468,3.4497357774332945e-05,1.5475607078109521,4.983822053515164,0.9974586961614307
0.39999999999999997,1.4571551526118383,1.8667266328193453e-05,1.5904908525709727,3.3545706722325757,0.9962952425523527
0.44999999999999996,1.466412452063829,8.660590866098076e-06,1.644273367083412,2.386480492054507,0.9950627615239603
0.5,1.4763893411736642,4.122109809945663e-06,1.6951284559136242,1.8850893045014987,0.9941971380550004
0.55,1.487141839276722,1.991888964699681e-06,1.742322650356246,1.5809811173939934,0.9936766004310535
0.6,1.4986275729780554,9.734897857877972e-07,1.785138550958109,1.3787339038316886,0.9934610767672968
0.65,1.509595332395362,5.121417261441554e-07,1.8202294277564663,1.246768459233339,0.9935239456658592
0.7,1.5202018365998173,2.8234191754562267e-07,1.8492672432554877,1.1543597486794255,0.9937698711724547
0.75,1.5302611788006908,1.6276216513943234e-07,1.8728467074910429,1.088257924230104,0.9941306705946462
0.7999999999999999,1.5399679359251763,9.624069135015078e-08,1.8921820686510544,1.0396315913031895,0.9945496570856004
0.8999999999999999,1.5568117151447254,3.865018049871393e-08,1.9191984241178603,0.9811665897735712,0.9954260868098157
1.0,1.5712485427634233,1.7546231797787396e-08,1.9361377955938148,0.953896585072206,0.9962322324684343
1.25,1.5978691445303932,4.059396075479027e-09,1.9547306499704795,0.9574395530348162,0.9976997115569497
1.5,1.6153613703503407,1.5902520278706244e-09,1.9590290889807611,1.0108035486410991,0.9985456645969893
1.75,1.627257136102465,8.657495912235299e-10,1.958706308539015,1.0871504719823317,0.9990346843424257
2.0,1.6356682810260952,5.758946994374024e-10,1.9569467061510835,1.1761390411421648,0.9993291269055834
2.25,1.6417800019299778,4.350406640100662e-10,1.9548870895313806,1.272115302586517,0.9995160104048021
2.5,1.6463646451474199,3.5648213887662856e-10,1.9528992024043414,1.37276534572461,0.9996394870643305
2.75,1.6498869001242813,3.0841445804590113e-10,1.9511078559853483,1.4764951630972365,0.9997242519384368
3.0,1.6526541471367775,2.769126019162301e-10,1.9495319953576213,1.582613744973091,0.9997841390061242
3.5,1.6566473849802106,2.398004605760776e-10,1.9469883596020763,1.7987830763317938,0.9998606046216875
4.0,1.659341309550226,2.1973083681556334e-10,1.9450778424321746,2.018778628637118,0.9999046740318971
4.5,1.6612409279138494,2.0781397784992401e-10,1.9436285575283199,2.24090000934651,0.9999319532151211
5.0,1.6626315701273773,2.0023793688700456e-10,1.9425090518201504,2.464622804599148,0.9999496912979463
